Name,Likelihood_std,RMSE,MAE,LL
multisin10-3x64-s05,0.5±0.0,11.96±0.41,9.56±0.33,-33.61±5.05
multisin10-3x64-sl,0.69±0.05,11.66±0.29,9.32±0.25,-17.3±6.98
multisin10-2x32-s05,0.5±0.0,11.71±0.34,9.36±0.3,-75.21±8.53
multisin10-2x32-sl,0.69±0.05,11.9±0.3,9.54±0.25,-44.7±5.98
multisin10-1x16-s05,0.5±0.0,9.6±0.1,7.67±0.09,-146.72±3.34
multisin10-1x16-sl,1.23±0.11,9.59±0.24,7.67±0.19,-25.42±2.23
multisin10-linear-s05,0.5±0.0,19.41±0.02,15.67±0.02,-743.57±1.57
multisin10-linear-sl,6.71±0.42,19.41±0.02,15.67±0.02,-6.95±0.01
