Name,Likelihood_std,RMSE,MAE,LL
multisin10-3x64-s05,0.5±0.0,0.64±0.02,0.51±0.02,-1.04±0.06
multisin10-3x64-sl,0.69±0.05,0.69±0.03,0.55±0.02,-1.05±0.04
multisin10-2x32-s05,0.5±0.0,0.64±0.01,0.51±0.01,-1.04±0.04
multisin10-2x32-sl,0.69±0.05,0.69±0.03,0.55±0.02,-1.05±0.04
multisin10-1x16-s05,0.5±0.0,1.19±0.04,0.95±0.03,-3.08±0.19
multisin10-1x16-sl,1.23±0.11,1.23±0.08,0.97±0.07,-1.62±0.07
multisin10-linear-s05,0.5±0.0,6.73±0.0,5.29±0.0,-90.89±0.12
multisin10-linear-sl,6.71±0.42,6.74±0.01,5.29±0.0,-3.33±0.0
