Name,likelihood_sigma,mean_w_scale,min_w_scale,max_w_scale
multisin10-3x64-s05,0.5±0.0,0.69±0.04,0.0±0.0,1.0±0.0
multisin10-3x64-sl,0.69±0.05,0.81±0.02,0.0±0.0,1.0±0.0
multisin10-2x32-s05,0.5±0.0,0.08±0.04,0.0±0.0,1.0±0.01
multisin10-2x32-sl,0.69±0.05,0.28±0.1,0.0±0.0,1.0±0.0
multisin10-1x16-s05,0.5±0.0,0.01±0.0,0.0±0.0,0.01±0.01
multisin10-1x16-sl,1.23±0.11,0.02±0.0,0.01±0.0,0.04±0.01
multisin10-linear-s05,0.5±0.0,0.0±0.0,0.0±0.0,0.01±0.0
multisin10-linear-sl,6.71±0.41,0.06±0.0,0.05±0.0,0.09±0.0
