Name,Likelihood_std,RMSE,MAE,LL
sin10-3x256-s03,0.3±0.0,34.86±3.53,28.65±3.03,-28.01±5.05
sin10-3x256-sl,0.75±0.15,31.45±5.8,26.33±4.51,-6.63±1.63
sin10-2x128-s03,0.3±0.0,25.43±8.82,20.52±7.22,-81.47±25.47
sin10-2x128-sl,0.66±0.07,37.95±3.56,30.97±3.03,-14.03±2.81
sin10-1x64-s03,0.3±0.0,21.03±1.1,17.3±0.92,-1264.77±147.21
sin10-1x64-sl,2.79±0.2,21.26±0.92,17.48±0.78,-17.99±1.63
sin10-linear-s03,0.3±0.0,18.94±0.02,15.39±0.01,-1963.27±3.41
sin10-linear-sl,6.66±0.42,18.84±0.01,15.31±0.01,-6.77±0.01
