Name,Likelihood_std,RMSE,MAE,LL
multisin20-3x512-s05,0.5±0.0,0.52±0.01,0.41±0.01,-0.82±0.02
multisin20-3x512-sl,1.33±0.25,0.87±0.11,0.69±0.08,-1.56±0.18
multisin20-2x256-s05,0.5±0.0,0.58±0.01,0.47±0.01,-0.89±0.01
multisin20-2x256-sl,0.98±0.06,0.8±0.02,0.64±0.01,-1.29±0.01
multisin20-1x128-s05,0.5±0.0,0.89±0.01,0.71±0.01,-1.6±0.01
multisin20-1x128-sl,1.08±0.07,0.94±0.01,0.74±0.01,-1.41±0.01
multisin20-linear-s05,0.5±0.0,9.85±0.01,7.8±0.01,-193.94±0.58
multisin20-linear-sl,9.79±0.61,9.85±0.01,7.8±0.01,-3.71±0.0
