Name,Likelihood_std,RMSE,MAE,LL
tensin-3x256-s03,0.3±0.0,34.87±3.51,28.66±3.02,-28.11±5.09
tensin-3x256-sl,0.75±0.15,31.45±5.83,26.32±4.52,-6.62±1.61
tensin-2x128-s03,0.3±0.0,25.43±8.83,20.52±7.23,-81.93±26.25
tensin-2x128-sl,0.66±0.07,37.96±3.57,30.98±3.04,-14.07±2.82
tensin-1x64-s03,0.3±0.0,21.02±1.11,17.29±0.93,-1263.24±146.97
tensin-1x64-sl,2.79±0.19,21.25±0.9,17.48±0.76,-18.0±1.65
tensin-linear-s03,0.3±0.0,18.94±0.01,15.39±0.01,-1961.96±2.45
tensin-linear-sl,6.65±0.41,18.84±0.02,15.3±0.01,-6.77±0.01
